source_id,object_type,ra_deg,dec_deg,parallax_mas,distance_pc,phot_g_mean_mag,abs_mag_g,size_km,vx_au_d,vy_au_d,vz_au_d,speed_km_s,gm_km3_s2,mass_kg,density_g_cm3,mean_radius_km,albedo,rot_per_hr,H
20000095,asteroid,201.038754211,-17.377585562,58579764.770715348,1.707074113244e-05,,,147.969000,3.201572585969e-03,-7.637033186936e-03,-1.712257789410e-03,14.641427693,,,,,0.058000,8.705000,7.970000
20000008,asteroid,241.261062749,-16.318553971,82553614.671299085,1.211333996678e-05,,,147.491000,9.269928972629e-03,-3.367690581585e-03,-2.274422253633e-03,17.525039366,,,,,0.226000,12.865000,6.610000
20000762,asteroid,356.497080968,10.316161083,61368474.445741385,1.629501155164e-05,,,147.343000,-1.125335074182e-03,7.807636414053e-03,4.470327680662e-03,15.699014680,,,,,0.040000,5.839000,8.430000
20000187,asteroid,87.124614849,33.083019930,67715179.666117325,1.476773752843e-05,,,147.294000,-9.117060021462e-03,-1.649448659398e-03,-3.442414089855e-04,16.053132424,,,,,0.044000,10.670000,8.380000
20000536,asteroid,109.022045180,36.729789630,57445667.355504304,1.740775320463e-05,,,147.066000,-8.445591477589e-03,-2.791287766148e-03,1.154447468452e-03,15.530313825,,,,,0.048000,8.791000,8.120000
20000328,asteroid,320.882745023,-25.594095820,61163099.289985090,1.634972739460e-05,,,145.680000,5.958484277234e-03,5.019901625605e-03,4.429617454492e-03,15.517993709,,,,,0.025000,10.992000,9.010000
20000356,asteroid,154.967519043,13.803670513,83610841.309013918,1.196017148427e-05,,,145.503000,-7.557418928052e-03,-7.337587025462e-03,-4.638103736156e-03,19.928065582,,,,,0.065000,31.701000,8.370000
20000089,asteroid,5.342607490,17.726353326,98446890.487659633,1.015776115474e-05,,,145.483000,-2.549860395637e-03,1.074530168392e-02,6.670369318566e-03,22.338955441,,,,,0.189000,11.387000,6.380000
20000076,asteroid,25.149239177,10.328861617,65927081.792327359,1.516827338346e-05,,,145.423000,-5.871302835798e-03,7.697427674036e-03,2.936473195360e-03,17.516445029,,,,,0.058000,9.973000,8.000000
20000168,asteroid,18.171412731,8.230459564,66085327.042354777,1.513195204980e-05,,,145.366000,-3.446401701947e-03,8.995595115883e-03,3.008872190477e-03,17.474142396,,,,,0.056000,47.009000,8.270000
